# base64_utf8_original	base64_utf8_russian
QWxs	0JLRgdC1
UGFybGV5	0J/QtdGA0LXQs9C+0LLQvtGA0Ys=
UmFpc2Ug	0J/QvtC00L3QuNC80LjRgtC1IA==
UmVwYWly	0KDQtdC80L7QvdGC
VHJhZGUg	0KLQvtGA0LPQvtCy0LvRjyA=
YSBoYW5k	0YDRg9C60LA=
Zm9sZHMu	0YHQutC70LDQtNC60Lgu
IGNhcmRzLg==	INC60LDRgNGC0Ysu
QWxsIGluIA==	0JLRgdC1INCyIA==
TmV1dHJhbA==	0J3QtdC50YLRgNCw0LvRjNC90YvQuQ==
Tm8gaGVhdA==	0J3QtdGCINC90LDQs9GA0LXQstCw
Uml2ZXI6IA==	0KDQtdC60LA6IA==
YSBmbHVzaA==	0YTQu9C10Yg=
YSBncmF6ZQ==	0L/QsNGB0YLQsdC40YnQtQ==
Y2hlY2tzLg==	0YfQtdC60Lgu
bm8gY3Jldw==	0LHQtdC3INGN0LrQuNC/0LDQttCw
cHVzaGVzLg==	0YLQvtC70LrQsNC10YIu
dGhlIHBvdA==	0LPQvtGA0YjQvtC6
d29ya2VyOg==	0YDQsNCx0L7Rh9C40Lk6
ICAoc2l6ZSA=	ICAo0YDQsNC30LzQtdGAIA==
IChUeXBlOiA=	ICjQotC40L86IA==
IGxvc3QgYSA=	INC/0L7RgtC10YDRj9C7IA==
IHlhd25lZC4=	INC30LXQstC90YPQuy4=
QSBXb3JrZXI=	0KDQsNCx0L7Rh9C40Lk=
QmFzZSBwYXk=	0JHQsNC30L7QstCw0Y8g0LfQsNGA0LDQsdC+0YLQvdCw0Y8g0L/Qu9Cw0YLQsA==
QmF5IHJhdCA=	0JPQvdC10LTQsNGPINC60YDRi9GB0LAg
Q29udGludWU=	0J/RgNC+0LTQvtC70LbQuNGC0Yw=
RGVtYW5kOiA=	0KHQv9GA0L7RgTog
RW5kIFR1cm4=	0JrQvtC90LXRhiDQv9C+0LLQvtGA0L7RgtCw
Rk9SIFNBTEU=	0J3QkCDQn9Cg0J7QlNCQ0JbQow==
RnVsbCBwYXk=	0J/QvtC70L3QsNGPINC+0L/Qu9Cw0YLQsA==
SGFsZiBwYXk=	0J/QvtC70L7QstC40L3QsCDQvtC/0LvQsNGC0Ys=
TGF5b3V0OiA=	0JzQsNC60LXRgjog
Tm8gZW52b3k=	0J/QvtGB0LvQsNC90L3QuNC6INC+0YLRgdGD0YLRgdGC0LLRg9C10YIu
UmF0IEh1bnQ=	0JrRgNGL0YHQuNC90LDRjyDQvtGF0L7RgtCw
U29sZCBvdXQ=	0J/RgNC+0LTQsNC90L4=
U3B1biBPdXQ=	0KHQvtGA0LLQsNC70YHRjyDQsiDRiNGC0L7Qv9C+0YA=
VGhlIEZhbGw=	0J/QsNC00LXQvdC40LU=
VGhlIEl0Y2g=	0JfRg9C0
VGhlIFNvdXA=	0KHRg9C/
VGhlIGNyZXc=	0K3QutC40L/QsNC2
VGhpbiBDdXQ=	0KDQsNC30LHQsNCy0LvQtdC90L3QsNGPINC/0LDRgNGC0LjRjw==
VHdvIHBhaXI=	0JTQstC1INC/0LDRgNGL
V2l0aGRyYXc=	0JLRi9Cy0L7QtA==
WW91IHdvbiA=	0JLRiyDQstGL0LjQs9GA0LDQu9C4LiA=
YWxsIGZhaXI=	0LLRgdC1INGB0L/RgNCw0LLQtdC00LvQuNCy0LDRjw==
aWYgYmxpbmQ=	LCDQtdGB0LvQuCDRgdC70LXQv9Cw
aW1wbGFudDo=	0LjQvNC/0LvQsNC90YLQsNGCOg==
bmF0dXJhbDo=	0LXRgdGC0LXRgdGC0LLQtdC90L3Ri9C5Og==
dGhlIGNyZXc=	0Y3QutC40L/QsNC2
dGhlIHBhd24=	0L/QtdGI0LrQsA==
dGhlIHJhdHM=	0LrRgNGL0YHRiw==
dHJpYnV0ZTo=	0LTQsNC90Ywg0YPQstCw0LbQtdC90LjRjzo=
IChidXlpbmcp	ICjQv9C+0LrRg9C/0LrQsCk=
IChjbGFzczog	ICjQutC70LDRgdGBOiA=
ICh3ZWFwb24p	ICjQvtGA0YPQttC40LUp
IExheW91dCAn	INCc0LDQutC10YIgJw==
IGZhaWxlZDog	INC90LXRg9GB0L/QtdGI0L3Ri9C5OiA=
IHVzZWQgaW4g	LCDQuNGB0L/QvtC70YzQt9C+0LLQsNC90L3Ri9C5INCyIA==
JyB0aHJldzog	JyDQstGL0LTQsNC7OiA=
QmlnIGJsaW5k	0JHQvtC70YzRiNC+0Lkg0LHQu9Cw0LnQvdC0
QmxhY2sgQm94	0KfQtdGA0L3Ri9C5INGP0YnQuNC6
QmxhY2tqYWNr	0JHQu9GN0LrQtNC20LXQug==
Qm9keSBwYXJ0	0KfQsNGB0YLRjCDRgtC10LvQsA==
Q2FzZSBsb3N0	0JrQtdC50YEg0YPRgtC10YDRj9C9
Q2hvcCBTaG9w	0KDQsNC30LHQvtGA0L7Rh9C90LDRjw==
Q29sZCBSZWFk	0KXQvtC70L7QtNC90L7QtSDRh9GC0LXQvdC40LU=
Q29yZSBoZWxk	0K/QtNGA0L4g0YPQtNC10YDQttC40LLQsNC10YLRgdGP
Q3JldyBEb3du	0K3QutC40L/QsNC2INCyINCx0LXQtNC1
Q3V0IFNoaWZ0	0KHQvNC10L3QsCDQvdCwINGA0LDQt9Cx0LDQstC70LXQvdC40Lg=
REMgMzAgbWV0	REMgMzAg0LLRgdGC0YDQtdGC0LjQu9GB0Y8g0YE=
RWwgR2F1Y2hv	0K3Qu9GMLdCT0LDRg9GH0L4=
RXhwbG9kZWQh	0JLQt9C+0YDQstCw0LvRgdGPIQ==
RkFMTCBCQUNL	0J3QkNCX0JDQlA==
RmFzdCBUYWxr	0JHRi9GB0YLRgNGL0Lkg0YDQsNC30LPQvtCy0L7RgA==
RnVlbCBzaG9w	0KLQvtC/0LvQuNCy0L3Ri9C5INGG0LXRhQ==
SGFuZCBvdmVy	0KHQtNCw0LLQsNGC0Yw=
SGlnaCBjYXJk	0KHRgtCw0YDRiNCw0Y8g0LrQsNGA0YLQsA==
TWluIHJhaXNl	0JzQuNC90LjQvNCw0LvRjNC90L7QtSDQv9C+0LLRi9GI0LXQvdC40LU=
T3BlbiBmaXJl	0J7RgtC60YDRi9GC0Ywg0L7Qs9C+0L3RjA==
UmFpc2UgdG86	0J/QvtC00L3QuNC80LjRgtC1INC00L46
U3Bpa2UgUnVu	0J/QtdGA0LXQs9C+0L0g0YEg0YjQuNC/0L7QvA==
U3RyYW5kZWQ/	0JzQvdC+0LPQvtC20LjQu9GM0L3Ri9C5Pw==
VGFpbCBtYWRl	0JjQt9Cz0L7RgtC+0LLQu9C10L0g0YXQstC+0YHRgg==
VGhlIEJyaWVm	0JrRgNCw0YLQutC+0LUg0L7Qv9C40YHQsNC90LjQtQ==
VGhlIElkaW90	0JjQtNC40L7Rgg==
VGhlIFNoaWZ0	0KHQvNC10L3QsA==
VGhlIFVzdWFs	0J7QsdGL0YfQvdGL0Lk=
VHVybmVkIElu	0KHQtNCw0L3Qvg==
WW91IGhhdmUg	0KMg0LLQsNGBINC10YHRgtGMIA==
WW91ciB0dXJu	0JLQsNGI0LAg0L7Rh9C10YDQtdC00Yw=
Ym9keSBwYXJ0	0YfQsNGB0YLRjCDRgtC10LvQsA==
YnVzdHMgYXQg	0L3QsNC/0LDQtNCw0LXRgiDQvdCwIA==
ZG9jayBib3Nz	0L3QsNGH0LDQu9GM0L3QuNC6INC00L7QutCw
aGlyZWQgZ3Vu	0L3QsNC10LzQvdC+0LUg0L7RgNGD0LbQuNC1
aWYgbWlzc2Vk	LCDQtdGB0LvQuCDQv9GA0L7QvNCw0YXQvdGD0LvQsNGB0Yw=
c2lkZSBwb3Qg	0L/QvtCx0L7Rh9C90YvQuSDQsdCw0L3QuiA=
dGllcyBmb3Ig	0LfQsNCy0Y/Qt9C60Lgg0LTQu9GPIA==
dG9vIHNtYXJ0	0YHQu9C40YjQutC+0Lwg0YPQvNC90L4=
dmVyeSByYXJl	0L7Rh9C10L3RjCDRgNC10LTQutCw0Y8=
ICAobmVlZHMgJA==	ICAo0YLRgNC10LHRg9C10YLRgdGPICQ=
IChhcHBhcmVsKQ==	ICjQvtC00LXQttC00LAp
IChwYXNzaW9uKQ==	ICjRg9Cy0LvQtdGH0LXQvdC40LUp
IGhvdHdpcmVkLg==	INC/0L7QtNC60LvRjtGH0LXQvSDQuiDRgdC10YLQuC4=
JyAodHJpZWQgJw==	JyAo0L/RgNC+0LHQvtCy0LDQuyAn
LCBDb2xvcjogIw==	LCDQptCy0LXRgjogIw==
LiBEZWFsZXI6IA==	LiDQlNC40LvQtdGAOiA=
QWdncmVzc2l2ZQ==	0JDQs9GA0LXRgdGB0LjQstC90YvQuQ==
QW4gQXBvbG9neQ==	0JjQt9Cy0LjQvdC10L3QuNC1
QW5pbWFscyBYUA==	0JbQuNCy0L7RgtC90YvQtSBYUA==
QXNrIG5pY2VseQ==	0J/QvtC/0YDQvtGB0LjRgtC1INCy0LXQttC70LjQstC+
QXR0YWNrIHswfQ==	0J3QsNC/0LDRgdGC0Ywg0L3QsCB7MH0=
QmFja2VkIE91dA==	0L7RgtC60LDQt9Cw0LvRgdGPINC+0YIg0YPRh9Cw0YHRgtC40Y8=
QmFyIFZhdGhlaw==	0JHQsNGAINCS0LDRgtC10Lo=
QmFyZSBoYW5kcw==	0JPQvtC70YvQtSDRgNGD0LrQuA==
QmlnIGJsaW5kIA==	0JHQvtC70YzRiNC+0Lkg0LHQu9Cw0LnQvdC0IA==
QnVyc3QgZmlyZQ==	0J7Rh9C10YDQtdC00L3QvtC5INC+0LPQvtC90Yw=
Q2FzaGVkIE91dA==	0J7QsdC90LDQu9C40YfQtdC9
Q29tYmF0IExvZw==	0JHQvtC10LLQvtC5INC20YPRgNC90LDQuw==
Q29udHJhYmFuZA==	0JrQvtC90YLRgNCw0LHQsNC90LTQsA==
Q292ZXJlZCBJdA==	0J3QsNC60YDQvtC50YLQtSDQtdCz0L4=
RG9jayBTaGlmdA==	0KHQvNC10L3QsCDRgyDQtNC+0LrQsA==
RW1wdHkgc2VhdA==	0KHQstC+0LHQvtC00L3QvtC1INC80LXRgdGC0L4=
RXhpdCB0YWJsZQ==	0KHRgtC+0Lsg0LTQu9GPINCy0YvRhdC+0LTQsA==
RmFpciBUcmFkZQ==	0KHQv9GA0LDQstC10LTQu9C40LLQsNGPINGC0L7RgNCz0L7QstC70Y8=
RnVsbCBob3VzZQ==	0J/QvtC70L3Ri9C5INC00L7QvA==
R2F2ZSBJdCBVcA==	0KHQtNCw0LvRgdGP
R2V0IGFib2FyZA==	0J/QvtC00L3QuNC80LDQudGC0LXRgdGMINC90LAg0LHQvtGA0YI=
SHVsayBmcmFtZQ==	0KDQsNC80LrQsCDQpdCw0LvQutCw
SHVsbCBob2xlZA==	0JrQvtGA0L/Rg9GBINGBINC/0YDQvtCx0L7QuNC90LDQvNC4
TGl2ZSBDYXRjaA==	0JbQuNCy0L7QuSDQs9GA0YPQtw==
TG93IGRlbWFuZA==	0J3QuNC30LrQuNC5INGB0L/RgNC+0YE=
TWluIGNoaXAgJA==	0JzQuNC90LjQvNCw0LvRjNC90YvQuSDRh9C40L8gJA==
Tm8gam9iIHBheQ==	0J3QtdGCINC+0L/Qu9Cw0YLRiyDQt9CwINGA0LDQsdC+0YLRgw==
UmFyZSBpdGVtcw==	0KDQtdC00LrQuNC1INC/0YDQtdC00LzQtdGC0Ys=
UmVwYWlyIHRvIA==	0KDQtdC80L7QvdGCIA==
U3BpbiBDeWNsZQ==	0KbQuNC60Lsg0LLRgNCw0YnQtdC90LjRjw==
U3Rvb2QgRG93bg==	0L/RgNC10LrRgNCw0YLQuNC70LjRgdGMLg==
VGFrZSBjb3Zlcg==	0KPQutGA0L7QudGC0LXRgdGM
VGhlIGNyZXcncw==	0K3QutC40L/QsNC2
VGhlIHdpbm5lcg==	0J/QvtCx0LXQtNC40YLQtdC70Yw=
VGhpbiBmcmFtZQ==	0KLQvtC90LrQsNGPINGA0LDQvNC60LA=
VHJhZGUgKERldg==	0KLQvtGA0LPQvtCy0LvRjyAoRGV2
VmlzaXQgKERldg==	0J/QvtGB0LXRidC10L3QuNC1IChEZXY=
WWV2Z2VuaWEncw==	0JXQstCz0LXQvdC40Lg=
YSBwYWlyIG9mIA==	0L/QsNGA0LAg
YSBzdHJhaWdodA==	0L/RgNGP0LzQvtC5
YmVhdCBEQyAyMA==	0LHQuNGCIERDIDIw
YmxhY2tqYWNrIQ==	0JHQu9GN0LrQtNC20LXQuiE=
Y2FzaGVzIGluIA==	0L7QsdC90LDQu9C40YfQuNCy0LDQtdGCIA==
Y2xlYW4gZHJvcA==	0YfQuNGB0YLQsNGPINC60LDQv9C70Y8=
Y292ZXJlZCBpdA==	0L/RgNC40LrRgNGL0Lsg0Y3RgtC+
Y3JpbWUgbG9yZA==	0LrRgNC40LzQuNC90LDQu9GM0L3Ri9C5INCw0LLRgtC+0YDQuNGC0LXRgg==
ZGVjayBjcmV3cw==	0J/QsNC70YPQsdC90YvQtSDQutC+0LzQsNC90LTRiw==
ZHJhdyBmaXJzdA==	0LHQtdGA0LXRgiDQv9C10YDQstGL0Lk=
ZHJpdmVuIG9mZg==	0YPQtdC30LbQsNC10YI=
bG9hbiBzaGFyaw==	0YDQvtGB0YLQvtCy0YnQuNC6
cG9kIHJhY2Vycw==	0LPQvtC90YnQuNC60Lgg0L3QsCDQutCw0L/RgdGD0LvQsNGF
c3RhbmRzIG9uIA==	0L3QsCA=
dGhlIHBsYXllcg==	0LjQs9GA0L7Qug==
dHdvIHBhaXIsIA==	0LTQstC1INC/0LDRgNGLLCA=
eW91ciBlbnZveQ==	0LLQsNGIINC/0L7RgdC70LDQvdC90LjQug==
ezB9IHNpbHZlcg==	ezB9INGB0LXRgNC10LHRgNC+
CkZpbmFsOiB7MH0=	CtCk0LjQvdCw0Ls6IHswfQ==
CnswfSBzaWx2ZXI=	CnswfSDRgdC10YDQtdCx0YDQuNGB0YLRi9C5
IFRoaXMgaXMgYSA=	INCt0YLQviA=
IGFuZCB0YWtlcyA=	INC4INCx0LXRgNC10YIg
QUkgcGVkZGxlcnM=	0KLQvtGA0LPQvtCy0YbRiyDQuNGB0LrRg9GB0YHRgtCy0LXQvdC90YvQvCDQuNC90YLQtdC70LvQtdC60YLQvtC8
Qm91Z2h0IEJhY2s=	0JLRi9C60YPQv9C70LXQvSDQvtCx0YDQsNGC0L3Qvg==
Q2Fubm90IGFjdC4=	0J3QtSDQvNC+0LbQtdGCINC00LXQudGB0YLQstC+0LLQsNGC0Ywu
Q2Fza2V0IGxvc3Q=	0J/QvtGC0LXRgNGP0L3QvdGL0Lkg0LPRgNC+0LE=
Q2xlYW4gSGFuZHM=	0J7Rh9C40YHRgtC40YLRjCDQoNGD0LrQuA==
Q2xvY2tlZCBPdXQ=	0JLRi9GI0LXQuyDQuNC3INGB0YLRgNC+0Y8=
Q3V0IHRoZSBJY2U=	0KDQsNGB0LrQvtC70L7RgtGMINC70ZHQtA==
RG9jayBhdCB7MH0=	0J/RgNC40YHRgtGL0LrQvtCy0LDRgtGM0YHRjyDQuiB7MH0=
RG91YmxlIGRvd24=	0JTQstC+0LnQvdCw0Y8g0YHRgtCw0LLQutCw
R29sZGVuIEhpbmQ=	0JfQvtC70L7RgtCw0Y8g0LvQsNC90Yw=
SGVhdnkgZnJhbWU=	0KLRj9C20LXQu9Cw0Y8g0YDQsNC80LA=
SGlnaCBjYXJkICg=	0KHRgtCw0YDRiNCw0Y8g0LrQsNGA0YLQsCAo
SGlnaCBkZW1hbmQ=	0JLRi9GB0L7QutC40Lkg0YHQv9GA0L7RgQ==
SG9sZHMgZmlyZS4=	0KHQtNC10YDQttC40LLQsNC10YIg0L7Qs9C+0L3RjC4=
SW5zdGFsbCBvbiA=	0KPRgdGC0LDQvdC+0LLQuNGC0Ywg0L3QsCA=
TGVmdCBCZWhpbmQ=	0J7RgdGC0LDQu9GB0Y8g0L/QvtC30LDQtNC4
TWFpbnRlbmFuY2U=	0KLQtdGF0L3QuNGH0LXRgdC60L7QtSDQvtCx0YHQu9GD0LbQuNCy0LDQvdC40LU=
TWVhdCBNYXJrZXQ=	0JzRj9GB0L3QvtC5INGA0YvQvdC+0Lo=
T3ZlcmNsb2NrOiA=	0KDQsNC30LPQvtC9OiA=
UGFyaXMgUm9vZnM=	0J/QsNGA0LjQttGB0LrQuNC1INC60YDRi9GI0Lg=
UGFybGV5IChEZXY=	0J/QtdGA0LXQs9C+0LLQvtGA0YsgKERldg==
UG9pbnQgQmxhbms=	0JIg0YPQv9C+0YA=
UmVkdWNlZCBwYXk=	0KHQvdC40LbQtdC90L3QsNGPINC30LDRgNC/0LvQsNGC0LA=
Um95YWwgVGl0aGU=	0JrQvtGA0L7Qu9C10LLRgdC60LDRjyDQtNC10YHRj9GC0LjQvdCw
U2FsZSBDb2Nob24=	0KDQsNGB0L/RgNC+0LTQsNC20LAg0LIg0JrQvtGF0L7QvdC1
U2N1dHRsZWQgSXQ=	0JfQsNGC0L7Qv9C70LXQvQ==
U2lkZSBFYXJuZXI=	0JTQvtC/0L7Qu9C90LjRgtC10LvRjNC90YvQuSDQt9Cw0YDQsNCx0L7RgtC+0Lo=
U2luZ2xlIHNob3Q=	0J7QtNC40L3QvtGH0L3Ri9C5INCy0YvRgdGC0YDQtdC7
U2xpcHBlZCBPdXQ=	0JLRi9GB0LrQvtC70YzQt9C90YPQuw==
U21hbGwgK0NyZWQ=	0JzQsNC70LXQvdGM0LrQuNC5ICtDcmVk
U21hbGwgYmxpbmQ=	0JzQsNC70YvQuSDQsdC70LDQudC90LQ=
U3BydW5nIFRoZW0=	0JLRi9GC0LDRidC40LvQuCDQuNGF
VGFsa2VkIERvd24=	0KDQsNC30LPQvtCy0L7RgCDRg9C/0LDQuw==
VGhlIFpvZmxveWE=	0JfQvtGE0LvQvtGP
VGhlIG91dHBvc3Q=	0JDQstCw0L3Qv9C+0YHRgg==
VGhlIHN0YXRpb24=	0KHRgtCw0L3RhtC40Y8=
VG9vayBJdCBBbGw=	0JLQt9GP0Lsg0LLRgdC1
VmVudGVkIFRoZW0=	0JLRi9C/0YPRgdGC0LjQuyDQuNGF
V2Fsa2VkIEF3YXk=	0KPRiNC70Lg=
YWx3YXlzIGxvdWQ=	0LLRgdC10LPQtNCwINCz0YDQvtC80LrQvg==
YXJtcyBkZWFsZXI=	0YLQvtGA0LPQvtCy0LXRhiDQvtGA0YPQttC40LXQvA==
Y2FyZ28gdGhpZWY=	0LLQvtGAINCz0YDRg9C30LA=
Y2FzaGVzIG91dC4=	0L7QsdC90LDQu9C40YfQuNCy0LDQtdGCLg==
Y29sb25pc3QgaXM=	0LrQvtC70L7QvdC40YHRgiDigJQ=
ZGF0YSBicm9rZXI=	0LHRgNC+0LrQtdGAINC00LDQvdC90YvRhQ==
bWFjaGluZSBndW4=	0L/Rg9C70LXQvNC10YI=
cmV0dXJuIHRoZW0=	0LLQtdGA0L3QuNGC0LUg0LjRhQ==
c3BhcmUgcGFydHM=	0LfQsNC/0LDRgdC90YvQtSDRh9Cw0YHRgtC4
dGFrZXMgYmFjayA=	0LfQsNCx0LjRgNCw0LXRgiDQvtCx0YDQsNGC0L3QviA=
dGhlIG91dHBvc3Q=	0LDQstCw0L3Qv9C+0YHRgg==
dm9pZCBiYXJvbnM=	0L/Rg9GB0YLQvtGC0L3Ri9C1INCx0LDRgNC+0L3Riw==
d2F0ZXIgYmFyb24=	0LLQvtC00L3Ri9C5INCx0LDRgNC+0L0=
d29uLCBsb290ZWQ=	0LLRi9C40LPRgNCw0LssINGD0LrRgNCw0Ls=
ezB9IGRhbWFnZWQ=	ezB9INC/0L7QstGA0LXQttC00LXQvQ==
ICAobm8gdGl0bGUp	ICAo0LHQtdC3INC90LDQt9Cy0LDQvdC40Y8p
IGFzIHRyaWJ1dGUu	INC60LDQuiDQtNCw0L3RjCDRg9Cy0LDQttC10L3QuNGPLg==
IMOXIG1pbmlmaWVkIA==	IMOXINC80LjQvdC40LzQuNC30LjRgNC+0LLQsNC90L3Ri9C5IA==
JSBtYWludGFpbmVk	JSDQv9C+0LTQtNC10YDQttC40LLQsNC10YLRgdGP
JyBnZW5lcmF0b3Ig	JyDQs9C10L3QtdGA0LDRgtC+0YAg
JyBub3QgZm91bmQu	JyDQvdC1INC90LDQudC00LXQvS4=
KG5vIHRhcmdldHMp	KNC90LXRgiDRhtC10LvQtdC5KQ==
QWNjZXB0IHRlcm1z	0J/RgNC40L3Rj9GC0Ywg0YPRgdC70L7QstC40Y8=
QmFkIE5laWdoYm9y	0J/Qu9C+0YXQvtC5INGB0L7RgdC10LQ=
QmFzZSB2YWx1ZTog	0JHQsNC30L7QstCw0Y8g0YHRgtC+0LjQvNC+0YHRgtGMOiA=
QmxhY2sgbWFya2V0	0KfQtdGA0L3Ri9C5INGA0YvQvdC+0Lo=
Q2Fza2V0IGZhaWxz	0KjQutCw0YLRg9C70LrQsCDQvdC1INGD0LTQsNC70LDRgdGM
Q29taW5nIHNvb24u	0KHQutC+0YDQviDQv9C+0Y/QstC40YLRgdGPLg==
RGVzcGl0ZSB7MH0s	0J3QtdGB0LzQvtGC0YDRjyDQvdCwIHswfSw=
RG9vcm1hbiB3YXJ5	0J7RgdGC0L7RgNC+0LbQvdGL0Lkg0YjQstC10LnRhtCw0YA=
Rm9yIGFsbCB7MH0s	0JTQu9GPINCy0YHQtdGFIHswfSw=
S2VlcCBwbGF5aW5n	0J/RgNC+0LTQvtC70LbQsNC50YLQtSDQuNCz0YDQsNGC0Yw=
TGVhdmUgd2l0aCAk	0J7RgdGC0LDQstC40YLRjCDRgSAk
TWFnaWMgRGFuY2Vy	0JLQvtC70YjQtdCx0L3QsNGPINGC0LDQvdGG0L7QstGJ0LjRhtCw
TWFpbnRhaW4gdG8g	0J/QvtC00LTQtdGA0LbQsNGC0Ywg
Tm8gTmFtZSBDbHVi	0JHQtdC30YvQvNGP0L3QvdGL0Lkg0LrQu9GD0LE=
Tm8gYWZ0ZXJtYXRo	0J3QuNC60LDQutC40YUg0L/QvtGB0LvQtdC00YHRgtCy0LjQuQ==
T3V0IG9mIHN0b2Nr	0J3QtdGCINCyINC90LDQu9C40YfQuNC4
UGF0Y2ggd291bmRz	0JfQsNC/0LvQsNGC0LrQsCDRgNCw0L0=
UG9vciBWaW50YWdl	0J/Qu9C+0YXQvtC5INCy0LjQvdGC0LDQtg==
UHJpdmF0ZSBTYWxl	0KfQsNGB0YLQvdCw0Y8g0L/RgNC+0LTQsNC20LA=
UXVldWUgT3JkZXJz	0J/RgNC40LrQsNC30Ysg0LIg0L7Rh9C10YDQtdC00Lg=
UmVtb3ZlIG9mZmVy	0KPQtNCw0LvQuNGC0Ywg0L/RgNC10LTQu9C+0LbQtdC90LjQtQ==
U2l0IGF0IHRhYmxl	0KHRj9C00YzRgtC1INC30LAg0YHRgtC+0Ls=
U3BlY2lmaWNpdHku	0KHQv9C10YbQuNGE0LjQutCwLg==
U3RhdGlvbiBoZWF0	0KLQtdC/0LvQvtCy0LDRjyDRgdGC0LDQvdGG0LjRjw==
U3dlZXRlbiBEZWFs	0J/QvtC00YHQu9Cw0YnQtdC90L3QsNGPINGB0LTQtdC70LrQsA==
U3dlZXRlbiBkZWFs	0J/QvtC00YHQu9Cw0YnQtdC90L3QsNGPINGB0LTQtdC70LrQsA==
VGhlIFN0cmFuZ2Vy	0J3QtdC30L3QsNC60L7QvNC10YY=
VGhleSdyZSB0YW1l	0J7QvdC4INGA0YPRh9C90YvQtQ==
VG9vayBUaGVtIElu	0JLQt9GP0Lsg0LjRhQ==
VG90YWwgdmFsdWU6	0J7QsdGJ0LDRjyDRgdGC0L7QuNC80L7RgdGC0Yw6
VmljdG9yIEJlbG93	0JLQuNC60YLQvtGAINCy0L3QuNC30YM=
Y2hhcmdlcyB0aGUg	0LLQt9C40LzQsNC10YIg0L/Qu9Cw0YLRgyDRgSA=
ZGF0YSBicm9rZXJz	0JHRgNC+0LrQtdGA0Ysg0LTQsNC90L3Ri9GF
ZHJ1ZyBkZWFsZXJz	0YLQvtGA0LPQvtCy0YbRiyDQvdCw0YDQutC+0YLQuNC60LDQvNC4
ZmxhbmtlZCB0aGVt	LCDQvtCx0L7RiNC10Lsg0LjRhSDQv9C+INGE0LvQsNC90LPQsNC8LA==
ZnVlbCBob2FyZGVy	0LfQsNC/0LDRgSDRgtC+0L/Qu9C40LLQsA==
aWYgdGFpbCBtYWRl	LCDQtdGB0LvQuCDRhdCy0L7RgdGCINGB0LTQtdC70LDQvQ==
bWFya2V0IGxvcmRz	0YDRi9C90L7Rh9C90YvQtSDQu9C+0YDQtNGL
bW9ydGFyIHNoZWxs	0LzQuNC90L7QvNC10YLQvdGL0Lkg0YHQvdCw0YDRj9C0
c2NyYXRjaGVzIGF0	0YbQsNGA0LDQv9Cw0LXRgg==
c2hha2VuIGJ5IGl0	0L/QvtGC0YDRj9GB0LXQvQ==
c2lnbmFsIHRoaWVm	0L/QvtGF0LjRgtC40YLQtdC70Ywg0YHQuNCz0L3QsNC70L7Qsg==
dGhlIG1haW4gcG90	0L7RgdC90L7QstC90L7QuSDQs9C+0YDRiNC+0Lo=
dHJpYmFsIGVsZGVy	0YHRgtCw0YDQtdC50YjQuNC90LAg0L/Qu9C10LzQtdC90Lg=
ezB9IGlzIGtpbmQu	ezB9INC00L7QsdGA0YvQuS4=
ezB9IGlzIGxhenku	ezB9INC70LXQvdC40LIu
ezB9IGlzIHVnbHku	ezB9INGD0YDQvtC00LvQuNCyLg==
